ReviewText	Label
The product is great and works perfectly.	1
Very disappointed, it stopped working after a few days.	0
Excellent customer service and fast delivery.	1
The quality is poor, I would not recommend it.	0
Easy to use and very useful.	1
The material feels cheap and is easy to damage.	0
Exceeded my expectations, I am very satisfied.	1
It broke after only one month of use.	0
Super product, will buy it again.	1
Not as described, very dissatisfied.	0
OK, better next time please! 0
Breakfast could be better.	0
Good rating.	1
Good food.	1
Good service.	1
Nice service.	1
Bad food.	0
Could cry with joy.	1
Could cry.	0
Could cry, so bad.	0
Food good, service ugly.	0
Further assessment.	1
More food.	1
Further service.	1
Could be better.	0
That was fantastic!	1
That was terrible.	0
Always happy to do it again.	1
Will never order again.	0
The best I've ever had!	1
Catastrophic! 0
Quite okay.	1
Absolutely terrible.	0
Highly recommended!	1
Absolutely not recommended.	0
Great value for money!	1
Too expensive for the quality on offer.	0
Well done!	1
Poorly made! 0
Top service!	1
Poor service! 0
Always happy to come back!	1
Will never order there again.	0
Fantastic!	1
Terrible! 0
Excellent!	1
Underground! 0
Perfect!	1
Just awful! 0
Brilliant!	1
Catastrophic! 0
First class!	1
Miserable! 0
Excellent!	1
Horrible!	0
Phenomenal!	1
Terrible!	0
Wonderful!	1
Unacceptable!	0
Superb!	1
Awful! 0
Gigantic!	1
Awful! 0
Grandiose!	1
Terrifying!	0
Brilliant!	1
Horrible! 0
World class!	1
Snore-inducingly boring! 0
Great!	1
Bad! 0
Great!	1
Lousy! 0
Excellent!	1
Miserable! 0
Sublime!	1
Pathetic! 0
Excellent!	1
Horrible!	0
Outstanding!	1
Pathetic! 0
Fantastic!	1
Awful! 0
Excellent!	1
Terrible!	0
Perfect!	1
Terrible! 0
Excellent!	1
Lousy! 0
Impeccable!	1
Horrible! 0
Gigantic!	1
Awful! 0
Grandiose!	1
Terrifying!	0
Brilliant!	1
Horrible! 0
World class!	1
Snore-inducingly boring! 0
Great!	1
Bad! 0
Great!	1
Lousy! 0
Excellent!	1
Miserable! 0
Sublime!	1
Pathetic! 0
Excellent!	1
Horrible!	0
Outstanding!	1
Pathetic! 0
